Szerző neve,Ország,Cikk címe,Cikk műfaja,Folyóirat évszám (CSAK SZÁM!),Folyóirat lapszám,Folyóirat oldalszám,Folyóirat
"Gomuliczki, Viktor ",Poland,A katona,novella,1910,1,72-75,Hét
"Gomuliczki, Viktor",Poland,A katona,novella,1910,1,88-90 ,Hét
"Konopnicka, Marya",Poland,Egy asszony,novella,1905,1,75-78 ,Hét
"Lange, Anton",Poland,A nagymama,novella,1919,1,78-82,Hét
"Orzeszkowa, Eliza",Poland,A nagyságos asszony,novella,1905,2,695-698,Hét
"Orzeszkowa, Eliza",Poland,A nagyságos asszony,novella,1905,2,712-714,Hét
"Orzeszkowa, Eliza",Poland,A nagyságos asszony,novella,1905,2,726-729,Hét
"Orzeszkowa, Eliza",Poland,A nagyságos asszony,novella,1905,2,746-749 ,Hét
"Prus, Boleslaw",Poland,"Mihók, a buta",novella,1898,2,455-458,Hét
"Prus, Boleslaw",Poland,"Mihók, a buta",novella,1898,2,475-476,Hét
"Prus, Boleslaw",Poland,Az álom,novella,1910,1,240-242,Hét
"Prus, Boleslaw",Poland,"Az álom,",novella,1910,1,254-256,Hét
"Prus, Boleslaw",Poland," Az álom,",novella,1910,1,272-274 ,Hét
"Prus, Boleslaw",Poland,Férfi sorsa a nő,novella,1919,1,198-200 ,Hét
"Reymont, Vladislav",Poland,Megváltás,novella,1905,1,154-157,Hét
"Reymont, Vladislav",Poland,Megváltás,novella,1905,1,172-175,Hét
"Reymont, Vladislav",Poland,Megváltás,novella,1905,1,190-191 ,Hét
"Rodziewicz, M. ",Poland,Éjszaka,novella,1905,2,615-618 ,Hét
"Sienkiewicz, Henrik",Poland,Tévedések vígjátéka,novella,1901,2,456-458 ,Hét
" Sienkiewicz, Henrik",Poland,Az öreg lakáj,novella,1918,2,488-492,Hét
"Swietochowski, Aleksander",Poland,Férfi és nő,novella,1905,1,126-128,Hét
"Swietochowski, Aleksander",Poland,Férfi és nő,novella,1905,1,140-142,Hét
"Zapolska, Gabriella",Poland, A zongorás,novella,1900,1,332-334 ,Hét
"Albert, Michel",Germany,"Pihensz, anyám... ",vers,1902,1,362,Hét
Armstrong,Germany,Esti csillag,vers,1892,1,162,Hét
Baumbach,Germany,Dal a krétáról,vers,1891,2,425,Hét
Baumbach,Germany,A barát,vers,1891,2,602,Hét
"Beck, Karl",Germany,A koldus lengyel lány,vers,1897,1,26,Hét
"Bellestrem, Eufémia",Germany,Hattyúdal,vers,1892,2,454,Hét
Bierbaum,Germany,Nyári zenekép,vers,1902,1,26,Hét
Bierbaum,Germany,A fekete hárfa,vers,1906,2,766,Hét
Bidenstedt,Germany,Lehelletedet érzem... ,vers,1892,1,266,Hét
Bidenstedt,Germany,Zulejka,vers,1894,2,792,Hét
"Bulcke, Karl",Germany,A régi város,vers,1912,1,89,Hét
"Christen, Ada",Germany,Hogy évek előtt láttalak,vers,1890,2,251,Hét
"Dehmel, Richard",Germany,Aratás,vers,1904,2,505,Hét
"Dehmel, Richard",Germany,A csendes város,vers,1905,1,250,Hét
"Dehmel, Richard",Germany,Az úszó,vers,1908,1,565,Hét
"Dehmel, Richard",Germany,Aratódal,vers,1911,1,266-267 ,Hét
" Dehmel, Richard",Germany,A hárfa,vers,1913,1,274,Hét
"Dehmel, Richard",Germany,Medvék,vers,1917,1,135,Hét
"Dehmel, Richard",Germany,Most és mindig,vers,1917,1,135,Hét
"Dehmel, Richard",Germany,Ütött az óránk,vers,1917,1,135,Hét
"Dörmann, Felix",Germany,Amit én szeretek,vers,1910,2,591,Hét
Eberl,Germany,Behivatott,vers,1891,2,670,Hét
Eichendorff,Germany,Búcsúzás,vers,1920,1,376,Hét
"Ernst, Otto",Germany,Timm Clasen,vers,1904,1,345,Hét
"Fischer, J. G.",Germany,Enyém s tied,vers,1891,2,751,Hét
"Fontane, Theodor",Germany, A körtefa,vers,1899,1,37,Hét
"Frank, Kari",Germany,Egykor...,vers,1917,1,70-71 ,Hét
Frankl. L. Ágoston,Germany,A halál angyala,vers,1891,1,313-314,Hét
"Geibel, Emanuel",Germany,Ha rád gondolok... ,vers,1892,1,308,Hét
"Geibel, Emanuel",Germany,A belforesti éj,vers,1893,2,9-Aug,Hét
"Geibel, Emanuel",Germany,Valamikor,vers,1897,2,550,Hét
"Geibel, Emanuel",Germany,Éjjel,vers,1899,1,3,Hét
"Geibel, Emanuel",Germany,Fáradtan,vers,1908,2,512,Hét
"Geirge, Stefan",Germany,Déli parton,vers,1909,1,345,Hét
"Geibel, Emanuel",Germany,Az álarcos hölgy,vers,1909,2,790,Hét
"Geibel, Emanuel",Germany,Tájkép,vers,1910,1,185,Hét
"Gilm, H.",Germany,Halottak napján,vers,1892,2,692,Hét
"Goethe, Johann Wolfgang",Germany, Faustjábólé /Beavatás. - Juhász-románc,vers,1900,1,246,Hét
"Goethe, Johann Wolfgang",Germany,Első veszteség,vers,1902,2,496,Hét
"Goethe, Johann Wolfgang",Germany,Faust. /Ajánlás/ ,vers,1915,2,694,Hét
"Goethe, Johann Wolfgang",Germany,Nászéjszaka,vers,1918,1,508,Hét
"Goethe, Johann Wolfgang",Germany,Viszontlátás és búcsú,vers,1920,1,441-442 ,Hét
"Goethe, Johann Wolfgang ",Germany,Dalaiból. /A távollevőhöz. - Vándor éji dala. - Hasonló. - Május/ ,vers,1920,1,554,Hét
"Hartleben, Otto Erich",Germany,Az élet dala,vers,1906,1,182,Hét
"Hagen-Türnau, Carl",Germany,Szonett 1916-ból,vers,1917,1,252,Hét
" Hartleben, Otto Erich",Germany,Kik cimborák közt...,vers,1911,1,417,Hét
"Hartleben, Otto Erich",Germany,Csöndes nyáron,vers,1911,2,729,Hét
"Hartleben, Otto Erich",Germany,Fontana Trevi,vers,1911,2,791,Hét
"Hartleben, Otto Erich",Germany,Érett gyümölcsről,vers,1912,1,287,Hét
"Hartleben, Otto Erich",Germany,Ella,vers,1916,2,400,Hét
"Hartleben, Otto Erich",Germany,Lángol e még szemed? ,vers,1918,2,400,Hét
"Hauptmann, Gerhardt",Germany,Rautendelein dala,vers,1899,2,755,Hét
Hebbel,Germany,Varázslat,vers,1898,1,292,Hét
Hebbel,Germany,Egymást többé sohse látják,vers,1909,2,609,Hét
" Heine, Heinrich",Germany,A viszhang,vers,1892,1,226,Hét
" Heine, Heinrich",Germany,A viszhang,vers,1892,1,225,Hét
"Heine, Heinrich",Germany,Vizén,vers,1892,1,226,Hét
"Heine, Heinrich",Germany,Vizén,vers,1892,1,226,Hét
"Heine, Heinrich",Germany,Gyász,vers,1892,1,226,Hét
"Heine, Heinrich",Germany,Vizvamitra,vers,1892,1,262,Hét
"Heine, Heinrich",Germany,Anyámnak,novella,1892,2,601-602,Hét
"Heine, Heinrich",Germany,"A ""Freskó szonettek""-ből",vers,1892,2,601-602 ,Hét
"Heine, Heinrich",Germany,A Loreley,vers,1892,1,147,Hét
"Heine, Heinrich",Germany,A haldokló Almanzor,vers,1893,2,54,Hét
"Heine, Heinrich",Germany,Utolsó költeménye,vers,1894,2,829,Hét
"Heine, Heinrich",Germany,Ódon csecsebecse,vers,1902,1,333-334 ,Hét
"Heine, Heinrich",Germany,Vers,vers,1913,2,869,Hét
"Hesse, Hermann",Germany,A fekete lovag,vers,1913,1,136,Hét
"Hesse, Hermann",Germany,Sötétben élt,vers,1916,2,400,Hét
"Hofmannsthal, Hugo von ",Germany,Vándorének,vers,1909,2,443,Hét
"Hofmannsthal, Hugo von ",Germany,Terzinák az elmúlásról,vers,1912,1,334,Hét
"Hofmannsthal, Hugo von ",Germany,Vándorének,vers,1915,2,609,Hét
"Hofmannsthal, Hugo von ",Germany,Dal,vers,1916,2,609,Hét
"Hofmannsthal, Hugo von ",Germany,Ketten,vers,1915,2,609,Hét
"Hofmannsthal, Hugo von ",Germany,A külső élet balladája,vers,1915,2,686,Hét
"Hofmannsthal, Hugo von ",Germany,A rab hajószakács dala,vers,1915,2,686,Hét
"Hofmannsthal, Hugo von ",Germany,Élmény,vers,1916,1,279,Hét
"Hofmannsthal, Hugo von ",Germany,Virradat,vers,1916,2,356-357 ,Hét
"Hofmannsthal, Hugo von ",Germany,Az arcodat.... ,vers,1917,2,651,Hét
"Hofmannsthal, Hugo von ",Germany,Vannak persze,vers,1917,2,651,Hét
"Hofmannsthal, Hugo von ",Germany,Hajnal előtt,vers,1918,1,11,Hét
"Holz, Arno",Germany,A búcsú,vers,1918,2,585,Hét
"Horvát, Henrik",Germany,Hódolat,vers,1911,1,410,Hét
Immermann,Germany,Fenn,vers,1892,1,162,Hét
"Keller, Gottfried",Germany,Téli éjszaka,vers,1907,1,267,Hét
" Kerr, Alfred",Germany,Honako,vers,1908,1,293,Hét
Kolisch,Germany,A pillangó,vers,1891,1,321,Hét
"Lenau, Nicolaus",Germany,Dal,vers,1891,1,195,Hét
"Lenau, Nicolaus",Germany,Nádzugás,vers,1892,2,652-653 ,Hét
"Lenau, Nicolaus",Germany,Faust sétája,vers,1895,1,249,Hét
"Lenau, Nicolaus",Germany,Nádzugás,vers,1900,2,535,Hét
"Lenau, Nicolaus",Germany,Mozdulatlan,vers,1900,2,535,Hét
"Lenau, Nicolaus",Germany,Szerelmi ünnep,vers,1902,1,501,Hét
"Lenau, Nicolaus",Germany,Tavasz,vers,1902,1,501,Hét
"Lenau, Nicolaus",Germany,A tölgyes,vers,1902,2,502,Hét
"Lenau, Nicolaus",Germany,Az ég gyásza,vers,1902,2,502,Hét
"Lenau, Nicolaus",Germany,Volnál enyém...,vers,1905,1,393,Hét
"Lenau, Nicolaus",Germany,A weinsbergi Faust-torony,vers,1910,1,122,Hét
" Lenau, Nicolaus",Germany,Álomhatalmak,vers,1911,1,70,Hét
"Lenau, Nicolaus",Germany,Huszárdalok,vers,1917,1,214,Hét
"Lenau, Nicolaus",Germany,Hárman,vers,1917,2,406,Hét
"Lenau, Nicolaus",Germany,Temetés,vers,1917,2,710,Hét
"Lenau, Nicolaus",Germany,Kár,vers,1917,2,710,Hét
"Lenau, Nicolaus",Germany,Lovas dala,vers,1918,1,241,Hét
"Liliencron, Detlev von",Germany, Oh csak te élnél! ,vers,1904,2,623,Hét
"Liliencron, Detlev von",Germany,Késő,vers,1907,1,389,Hét
"Liliencron, Detlev von",Germany,"Liliencron, Detlev von",vers,1907,1,410,Hét
"Liliencron, Detlev von",Germany,Souvenir de Maimaison,vers,1908,2,757,Hét
"Liliencron, Detlev von",Germany,Halál a vetésben,vers,1909,1,12,Hét
"Liliencron, Detlev von",Germany,A te kezed,vers,1909,2,512,Hét
"Liliencron, Detlev von",Germany, Noel marschall ,vers,1912,1,70,Hét
"Liliencron, Detlev von",Germany,Cincinnatus,vers,1915,2,634-635,Hét
"Liliencron, Detlev von",Germany,Bál után,vers,1917,1,185,Hét
"Liliencron, Detlev von",Germany,A boldogok szigete,vers,1917,2,682,Hét
"Liliencron, Detlev von",Germany,A kis Fite,vers,1921,1,122-124 ,Hét
"Liliencron, Detlev von",Germany,Emlék,vers,1924,1,7,Hét
"Lissauer, Ernst",Germany, Annalise beteg,vers,1917,2,614-615 ,Hét
"Loerke, Oskar",Germany,Madártávlat,vers,1918,2,635,Hét
"Loerke, Oskar",Germany,Kilátó,vers,1918,2,635,Hét
Lorm,Germany,Az ember és a sors,vers,1892,1,102,Hét
"Meyer, Conrad Ferdinand",Germany,A szeszélyes múzsák,vers,1891,2,737,Hét
"Meyer, Conrad Ferdinand",Germany,Halottak kara,vers,1911,1,82,Hét
"Meyer, Conrad Ferdinand",Germany, Halottak kara,vers,1917,1,124,Hét
"Mörike, Wolf",Germany,Kedveshez,vers,1920,1,402,Hét
"Mörike, Wolf",Germany,Az álomhoz,vers,1920,1,441,Hét
"Mörike, Wolf",Germany,Vadászdal,vers,1920,1,441,Hét
"Nietzsche, Friedrich",Germany,Csillagmorál,vers,1904,2,731,Hét
"Nietzsche, Friedrich",Germany,A nap leszáll,vers,1904,2,731,Hét
"Nietzsche, Friedrich",Germany,"Verseiből /Uj tengerek felé, - Ne tudja senki, - A régi ének visszahívnak,/",vers,1913,2,641,Hét
"Nietzsche, Friedrich",Germany,Csillagmorál,vers,1916,1,8-Jul,Hét
"Nietzsche, Friedrich",Germany,Magány,vers,1916,1,8,Hét
" Nietzsche, Friedrich",Germany,Sils Maria,vers,1916,1,8,Hét
Platen,Germany,Végrendelet,vers,1912,1,404,Hét
"Renner, Gustav",Germany,Mi a célod?,vers,1905,1,186,Hét
"Renner, Gustav",Germany,Világító torony,vers,1905,1,186,Hét
"Renner, Gustav",Germany,Éji hangulat,vers,1905,1,186,Hét
"Reuter, Otto",Germany,A hullámokból,vers,1907,2,729,Hét
"Rilke, Rainer Maria",Germany,De profundis,vers,1908,1,365,Hét
"Rilke, Rainer Maria",Germany,Tűnődés,vers,1916,1,106,Hét
"Rilke, Rainer Maria",Germany, Egy gyermekkorból,vers,1917,1,40,Hét
"Rilke, Rainer Maria",Germany,Arckép,vers,1917,2,492,Hét
"Rohmer-Heilscher, Lucie",Germany,A vak leány,vers,1916,2,463,Hét
" Schauckal, Richard",Germany,Bismarck feltámadása,vers,1915,2,507,Hét
"Scherer, G.",Germany,Esti fény,vers,1892,2,761,Hét
"Schickele, René",Germany,Távoli muzsika,vers,1915,1,86,Hét
"Schlaf, J, ",Germany,A csókom ostya,vers,1910,2,529,Hét
"Schopenhauer, Arthur",Germany,Szonett,vers,1918,2,492,Hét
" Spitteier, Carl",Germany,A király,vers,1909,1,194,Hét
"Spitteier, Carl",Germany,A király,vers,1918,2,763,Hét
"Storm, Theodor",Germany,Mementó móri,vers,1892,2,426,Hét
"Storm, Theodor",Germany,Asszonyi kéz,vers,1893,2,39,Hét
"Storm, Theodor",Germany,Jácintok,vers,1906,2,796,Hét
"Storm, Theodor",Germany,Viharos éjjel,vers,1912,1,307,Hét
"Storm, Theodor",Germany,A város,vers,1912,2,735,Hét
Szerző nélkül,Germany,A szegény vándorlegény (Középkori német népdal) ,vers,1911,1,104,Hét
"Traeger, Albert",Germany,Lesz álmod még... ,vers,1894,2,628,Hét
"Traeger, Albert",Germany,Magdolna,vers,1895,1,409,Hét
Szerző nélkül,Germany,A vízi ember.  (Ó-német ballada),vers,1891,1, 237-238 ,Hét
"Vogelweide, Walter von der",Germany,A hárs alatt,vers,1892,1,82,Hét
"Vogelweide, Walter von der",Germany,Elégia,vers,1911,2,494,Hét
"Vollmoeller, Kari",Germany,A kor dicsérete,vers,1912,1,41,Hét
"Vollmoeller, Kari",Germany,G-dur notturno,vers,1916,2,400,Hét
Wackernagel,Germany,Tűzpróba,vers,1892,1,102,Hét
"Walter, Robert",Germany,Adagio,vers,1916,1,279,Hét
"Walter, Robert",Germany,Adagio,vers,1916,1,279,Hét
"Wedekind, Frank",Germany,Föld szelleme,vers,1918,1,158,Hét
"Wedekind, Frank",Germany,Ó jó ember,vers,1914,2,506,Hét
"Wedekind, Frank",Germany,Mint zápor vert... ,vers,1920,1,441,Hét
Wildenbruch,Germany,A boszorkány dala,vers,1905,1,134,Hét
"Wille, Bruno",Germany,Varázstörés,vers,1913,2,723,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,286-290,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,302-305,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,319-322,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,336-338,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,352-356,Hét
"Mann, Heinrich",Germany, Ronda tanár úr,regény,1913,1,367-371,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,382-386,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,400-404,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,1,415-418,Hét
"Mann, Heinrich ",Germany,Ronda tanár úr,regény,1913,2,431-435,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,2,447-450,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,2,464-468,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,2,478-482,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,2,495-498,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,2,511-514,Hét
"Mann, Heinrich",Germany,Ronda tanár úr,regény,1913,2,527-531,Hét
"Mann, Heinrich",Germany, Ronda tanár úr,regény,1913,2,527-531,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,286-289,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,303-307,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,318-322,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,335-340,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,352-355,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,369-372,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,383-386,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,400-403,Hét
"Wassermann, Jakob",Germany,Nagy Sándor Babylonban,regény,1912,1,416- 419 ,Hét
"Altenburg, Peter",Germany,Ábrándok alkonya,novella,1898,1,330-331 ,Hét
"Aubertin, Victor",Germany,Házasság,novella,1912,2,480-482,Hét
" Aubertin, Victor",Germany,Az udvari lelkész palesztinai utazása,novella,1912,2,751-754,Hét
"Auerheimer, Raoul",Germany,A másik,novella,1899,1,249-251,Hét
"Auerheimer, Raoul",Germany,A kadét,novella,1900,2,556-559 ,Hét
"Auerheimer, Raoul",Germany,A segédtanítónő,novella,1907,1,370-373 ,Hét
"Auerheimer, Raoul",Germany,Aline,novella,1917,2,505-507 ,Hét
"Auerheimer, Raoul",Germany,A költő,novella,1917,2,617-619 ,Hét
"Bartsch, Rudolf Hans",Germany,A varázsital,novella,1910,2,753-756,Hét
"Bartsch, Rudolf Hans",Germany,A varázsital,novella,1910,2,767-770,Hét
"Bartsch, Rudolf Hans",Germany,A varázsital,novella,1910,2,784- 786 ,Hét
"Baum, Oscar",Germany,Vakság,novella,1913,1,269-271,Hét
"Biberich, Gustav",Germany,Szerelem halálos lakomája,novella,1912,2,783-787,Hét
"Biberich, Gustav",Germany,Szerelem halálos lakomája,novella,1912,2,799-802,Hét
"Biberich, Gustav",Germany,Szerelem halálos lakomája,novella,1912,2,818-822,Hét
"Biberich, Gustav",Germany,Szerelem halálos lakomája,novella,1912,2,840-843 ,Hét
"Dauthendey, Max",Germany,A yabake-i vitorláscsónakok esti fényben,novella,1911,1,169-171,Hét
"Dauthendey, Max",Germany,A yabake-i vitorláscsónakok esti fényben,novella,1911,1,184-187,Hét
"Dauthendey, Max",Germany,Mint a Hirayama csúcsán a hó... ,novella,1911,2,546-548,Hét
"Dauthendey, Max",Germany,Mint a Hirayama csúcsán a hó... ,novella,1911,2,561-563 ,Hét
"Dauthendey, Max",Germany,"A kert, melyben nincsenek évszakok",novella,1916,1,243-246,Hét
"Dauthendey, Max",Germany,A mandarinok klubjában,novella,1916,2,686-688 ,Hét
"Dauthendey, Max",Germany,A Míjdera-templom estharangja,novella,1920,1,486-489,Hét
"Essig, Hermann",Germany,Lucie,novella,1918,2,441-443 ,Hét
"Essig, Hermann",Germany,Xilinde Holly házassága,novella,1918,2,710-712 ,Hét
"Ewers, Hanns Heinz",Germany,A tofár-menyasszony,novella,1908,1,150-153,Hét
"Ewers, Hanns Heinz",Germany,A tofár-menyasszony,novella,1908,1,167-169,Hét
"Ewers, Hanns Heinz",Germany,A tofár-menyasszony,novella,1908,1,182-184,Hét
"Ewers, Hanns Heinz",Germany,A tofár-menyasszony,novella,1908,1,199-201 ,Hét
"Ewers, Hanns Heinz",Germany,A gyürü,novella,1910,2,817-820,Hét
"Ewers, Hanns Heinz",Germany,A gyürü,novella,1910,2,838-841 ,Hét
"Frankos, K. E.",Germany,A barnowi templom képe,novella,1892,2,585-588,Hét
"Frankos, K. E.",Germany,A barnowi templom képe,novella,1892,2,603-606 ,Hét
"Frisch, Efraim",Germany,A kantin,novella,1910,2,657-659,Hét
"Frisch, Efraim",Germany,A kantin,novella,1910,2,672-675 ,Hét
"Guttenberg, Paul",Germany,Olsen úr birkája,novella,1893,1,299-301,Hét
"Hardt, Ernst",Germany,Fatema,novella,1909,2,861-863 ,Hét
"Hardt, Ernst",Germany,"Józsué, a János pap lába",novella,1911,1,417-419 ,Hét
"Hartleben, Otto Erich",Germany,Az apa visszajön,novella,1908,1,400-403 ,Hét
"Hartleben, Otto Erich",Germany,A patikus,novella,1913,1,152-155,Hét
"Hartleben, Otto Erich",Germany,A patikus,novella,1913,1,167- 170 ,Hét
"Hauptmann, Carl",Germany,Miniatűrök,novella,1916,1,167-169 ,Hét
"Heine, Heinrich",Germany,A középkorból,novella,1891,1,8-May,Hét
"Heine, Heinrich",Germany,Stefchne,novella,1899,2,819-821 ,Hét
"Hoffmann, E.T. A.",Germany,Don Juan,novella,1920,1,554-556,Hét
"Hoffmann, E.T. A.",Germany,Don Juan,novella,1920,1,569-571 ,Hét
"Hofmannsthal, Hugo von ",Germany," A 672, éj meséje, ",novella,1907,2,470-473,Hét
"Hofmannsthal, Hugo von",Germany,"A 672, éj meséje, ",novella,1907,2,486-489 ,Hét
"Keller, Gottfried",Germany,A csecsebecse,novella,1897,2,523-527 ,Hét
"Keller, Gottfried",Germany,Méretlein,novella,1906,1,134-137,Hét
"Kerr, Alfred",Germany,Jonathan a bulldog,novella,1918,2,788-790,Hét
"Land, Hans",Germany,Dóra,novella,1892,2,701-703 ,Hét
"Mann, Thomas",Germany,A kis Friedmann úr,novella,1905,1,28-29,Hét
"Mann, Thomas",Germany,A kis Friedmann úr,novella,1905,1,43-45,Hét
"Mann, Thomas",Germany,A kis Friedmann úr,novella,1905,1,58-61 ,Hét
"Mann, Thomas",Germany,Tristan,novella,1908,1,215-217,Hét
"Mann, Thomas",Germany,Tristan,novella,1908,1,231-233,Hét
"Mann, Thomas",Germany,Tristan,novella,1908,1,254-256,Hét
"Mann, Thomas",Germany,Tristan,novella,1908,1,270-272,Hét
"Mann, Thomas",Germany,Tristan,novella,1908,1,305-306 ,Hét
"Mell, Max",Germany,Lady Godnva,novella,1904,1,221-222 ,Hét
"Meyer, Conrad Ferdinand",Germany,Az amulet,novella,1904,1,378-381,Hét
"Meyer, Conrad Ferdinand",Germany,Az amulet,novella,1904,1,395-398,Hét
"Meyer, Conrad Ferdinand",Germany,Az amulet,novella,1904,1,411-414,Hét
"Meyer, Conrad Ferdinand",Germany,Az amulet,novella,1904,2,429-432,Hét
"Meyer, Conrad Ferdinand",Germany, Az amulet,novella,1904,2,448-450,Hét
"Meyer, Conrad Ferdinand",Germany,Az amulet,novella,1904,2,463-465 ,Hét
"Mjyrink, Gustav",Germany,A lila halál,novella,1916,2,558-560,Hét
"Meyrink, Gustav",Germany,A varangy átka,novella,1916,2,409-410,Hét
"Meyrink, Gustav",Germany,A gyilkos,novella,1915,2,639-641 ,Hét
"Meyrink, Gustav",Germany,A fehér néger,novella,1913,2,561-564,Hét
"Meyrink, Gustav",Germany,A fehér néger,novella,1913,2,577-580 ,Hét
"Meyrink, Gustav",Germany,Orchideák,novella,1906,2,547-550,Hét
"Meyrink, Gustav",Germany,Tetemrehívás,novella,1905,2,509-510 ,Hét
"Müller, Hans",Germany,Szent Antal rózsái,novella,1905,2,519-522 ,Hét
"Müller, Hans",Germany,Cassian kalandja,novella,1905,2,568-571 ,Hét
"Müller, Hans",Germany,Marat halála,novella,1905,2,662-665 ,Hét
"Nord, A.",Germany,Halál titkos tanácsos úr,novella,1902,2,557-558 ,Hét
"Nordau, Max",Germany,Paulina,novella,1892,1,259-262 ,Hét
"Nordau, Max",Germany,Két világ,novella,1915,2,375-378 ,Hét
Roda Roda,Germany,Meséiből,novella,1907,2,766-767 ,Hét
Roda Roda,Germany,A szép Herz Hédi,novella,1916,2,394-396 ,Hét
"Rung, Otto",Germany,A műtét,novella,1910,2,639-642 ,Hét
"Saiten, Felix",Germany,A józan Betti,novella,1909,2,576-579 ,Hét
"Saiten, Felix",Germany,Rézi,novella,1909,2,741-743 ,Hét
"Saiten, Felix",Germany,A veréb,novella,1915,1,184-185 ,Hét
"Schnitzler, Arthur",Germany,A bölcs ember felesége,novella,1900,2,763-765,Hét
"Schnitzler, Arthur",Germany,A bölcs ember felesége,novella,1900,2,779-782,Hét
"Schnitzler, Arthur",Germany,Excentric,novella,1902,2,506-509 ,Hét
"Schnitzler, Arthur",Germany,Az úttalan,novella,1907,1,279-281,Hét
"Schnitzler, Arthur",Germany,A pásztorfurulya,novella,1911,2,608-611,Hét
"Schnitzler, Arthur",Germany,A pásztorfurulya,novella,1911,2,624-627,Hét
"Schnitzler, Arthur",Germany,A pásztorfurulya,novella,1911,2,640-643,Hét
"Schnitzler, Arthur",Germany,A pásztorfurulya,novella,1911,2,656-659 ,Hét
"Schnitzler, Arthur",Germany,Az agglegény halála,novella,1912,2,432-436 ,Hét
"Strauss, Emil",Germany,Eufémia nővér,novella,1907,2,599-602,Hét
"Strauss, Emil",Germany,Eufémia nővér,novella,1907,2,616-620 ,Hét
"Sudermann, Hermann",Germany,A halotti ének,novella,1891,2,790-792,Hét
"Sudermann, Hermann",Germany,A halotti ének,novella,1891,2,807- 809,Hét
"Sudermann, Hermann",Germany,A halotti ének,novella,1891,2,822-825 ,Hét
"Sudermann, Hermann",Germany,Jolánta esküvője,novella,1894,2,437-441,Hét
"Sudermann, Hermann",Germany,Jolánta esküvője,novella,1894,2,454-459,Hét
"Sudermann, Hermann",Germany,Jolánta esküvője,novella,1894,2,470-473,Hét
"Sudermann, Hermann",Germany,Jolánta esküvője,novella,1894,2,487-489 ,Hét
"Trentini, Albert",Germany,Egy legyező-história,novella,1900,2,633-636,Hét
"Trentini, Albert",Germany,Hinnie nászútja,novella,1911,1,87-90 ,Hét
"Walter, Robert",Germany,Kis történetek,novella,1917,1,168-171 ,Hét
"Wassermann, Jakob",Germany,Clarissa Mirabel,novella,1906,2,483-486,Hét
"Wassermann, Jakob",Germany,Clarissa Mirabel,novella,1906,2,498-502,Hét
"Wassermann, Jakob",Germany,Clarissa Mirabel,novella,1906,2,514-518,Hét
"Wassermann, Jakob",Germany,Clarissa Mirabel,novella,1906,2,531-534 ,Hét
"Wassermann, Jakob",Germany,Lukardisz,novella,1913,1,188-190,Hét
"Wassermann, Jakob",Germany,Lukardisz,novella,1913,1,207-210,Hét
"Wassermann, Jakob",Germany,Lukardisz,novella,1913,1,223- 227 ,Hét
"Wassermann, Jakob",Germany,A nap fia,novella,1914,2,432-436,Hét
"Wassermann, Jakob",Germany,A nap fia,novella,1914,2,449-450,Hét
"Wehner, Horst H.",Germany,Dr. Hedderson naplója,novella,1920,1,392-394 ,Hét
"Wied, Gustav",Germany,A békéslaki princess,novella,1910,2,623-625 ,Hét
"Wied, Gustav",Germany,Morten Fynbo,novella,1910,2,104-107 ,Hét
"Wied, Gustav",Germany,Rózsák,novella,1911,1,120-122,Hét
"Wied, Gustav",Germany,Amikor az öcsémet kitapsolták,novella,1918,2,539- 540 ,Hét
Wildenbruch ,Germany,A kis gömböc,novella,1896,1,57-60,Hét
"Wohlbrück, Olga",Germany,Arisztokratelesz,novella,1901,1,281-284,Hét
"Aurenheimer, Raoul",Germany,Nászúton,színmű,1906,2,749-751 ,Hét
"Fulda, Ludwig",Germany,A talizmán,színmű,1897,2,745-746 ,Hét
"Hofmannsthal, Hugo von",Germany, Chrysothemis és Elektra,színmű,1909,1,282-284 ,Hét
"Schnitzler, Arthur",Germany,A búcsú,színmű,1901,1,67-70,Hét
